Date,Open,Close
2004-08-19,2.4805,2.4889
2004-08-20,2.5056,2.6866
2004-08-23,2.7472,2.7137
2004-08-24,2.7593,2.6013
2004-08-25,2.6035,2.6293
2004-08-26,2.6033,2.6767
2004-08-27,2.6814,2.6331
2004-08-30,2.6115,2.5304
2004-08-31,2.5376,2.5393
2004-09-01,2.5475,2.4867
2004-09-02,2.4604,2.518
2004-09-03,2.5041,2.4808
2004-09-07,2.5056,2.5197
2004-09-08,2.4989,2.5376
2004-09-09,2.5433,2.5378
2004-09-10,2.5202,2.6127
2004-09-13,2.645,2.6665
2004-09-14,2.6653,2.7655
2004-09-15,2.7424,2.7782
2004-09-16,2.7866,2.827
2004-09-17,2.8382,2.9143
2004-09-20,2.901,2.9607
2004-09-21,2.9719,2.923
2004-09-22,2.9121,2.9364
2004-09-23,2.9478,2.9969
2004-09-24,2.9999,2.9724
2004-09-27,2.9657,2.9334
2004-09-28,3.0089,3.1468
2004-09-29,3.1428,3.2514
2004-09-30,3.2222,3.2147
2004-10-01,3.2445,3.2887
2004-10-04,3.3549,3.3502
2004-10-05,3.3403,3.4323
2004-10-06,3.4119,3.4003
2004-10-07,3.3963,3.4442
2004-10-08,3.441,3.4164
2004-10-11,3.3983,3.3551
2004-10-12,3.3348,3.4082
2004-10-13,3.5551,3.495
2004-10-14,3.4978,3.5223
2004-10-15,3.595,3.5747
2004-10-18,3.5521,3.6999
2004-10-19,3.7332,3.6697
2004-10-20,3.6719,3.4849
2004-10-21,3.5819,3.7054
2004-10-22,4.2303,4.2771
2004-10-25,4.3756,4.6485
2004-10-26,4.6222,4.5096
2004-10-27,4.5324,4.613
2004-10-28,4.6306,4.7948
2004-10-29,4.9335,4.7288
2004-11-01,4.801,4.8625
2004-11-02,4.9308,4.8338
2004-11-03,4.9159,4.7544
2004-11-04,4.6743,4.5815
2004-11-05,4.514,4.2007
2004-11-08,4.2399,4.2801
2004-11-09,4.3186,4.1846
2004-11-10,4.2335,4.1638
2004-11-11,4.1953,4.5398
2004-11-12,4.5946,4.5145
2004-11-15,4.4761,4.5857
2004-11-16,4.4029,4.2799
2004-11-17,4.1926,4.2789
2004-11-18,4.2241,4.1558
2004-11-19,4.1945,4.202
2004-11-22,4.0797,4.0953
2004-11-23,4.1665,4.1553
2004-11-24,4.3364,4.3349
2004-11-26,4.3607,4.4498
2004-11-29,4.4738,4.491
2004-11-30,4.4825,4.514
2004-12-01,4.5133,4.4639
2004-12-02,4.4624,4.45
2004-12-03,4.4637,4.4748
2004-12-06,4.4433,4.3729
2004-12-07,4.3657,4.2523
2004-12-08,4.2255,4.2164
2004-12-09,4.2231,4.3019
2004-12-10,4.3019,4.2578
2004-12-13,4.2707,4.228
2004-12-14,4.2417,4.4324
2004-12-15,4.4151,4.4595
2004-12-16,4.3893,4.3774
2004-12-17,4.3845,4.4669
2004-12-20,4.5145,4.5894
2004-12-21,4.6214,4.5579
2004-12-22,4.5617,4.6212
2004-12-23,4.6497,4.6609
2004-12-27,4.6919,4.7603
2004-12-28,4.7653,4.7814
2004-12-29,4.7571,4.7849
2004-12-30,4.7866,4.9015
2004-12-31,4.9419,4.7822
2005-01-03,4.8965,5.0282
2005-01-04,4.9957,4.8246
2005-01-05,4.7985,4.8
2005-01-06,4.839,4.677
2005-01-07,4.7288,4.8085
2005-01-10,4.8246,4.8385
2005-01-11,4.8524,4.8008
2005-01-12,4.8204,4.8464
2005-01-13,4.8464,4.8452
2005-01-14,4.8618,4.9603
2005-01-18,4.9851,5.0578
2005-01-19,5.0764,4.894
2005-01-20,4.775,4.8102
2005-01-21,4.8256,4.6703
2005-01-24,4.6805,4.4828
2005-01-25,4.513,4.3935
2005-01-26,4.4468,4.6941
2005-01-27,4.6822,4.6653
2005-01-28,4.7135,4.7214
2005-01-31,4.8045,4.8524
2005-02-01,4.8216,4.7601
2005-02-02,5.3467,5.1089
2005-02-03,5.1096,5.2304
2005-02-04,5.1215,5.0692
2005-02-07,5.0915,4.8625
2005-02-08,4.8856,4.9273
2005-02-09,4.9799,4.7522
2005-02-10,4.7618,4.6629
2005-02-11,4.6301,4.6485
2005-02-14,4.5356,4.7871
2005-02-15,4.8023,4.8427
2005-02-16,4.8295,4.9216
2005-02-17,4.9072,4.9089
2005-02-18,4.9241,4.9102
2005-02-22,4.8742,4.7469
2005-02-23,4.7948,4.8109
2005-02-24,4.5485,4.6854
2005-02-25,4.6919,4.6105
2005-02-28,4.6137,4.6631
2005-03-01,4.6954,4.6152
2005-03-02,4.6125,4.5934
2005-03-03,4.617,4.6388
2005-03-04,4.6311,4.6113
2005-03-07,4.6579,4.6834
2005-03-08,4.6906,4.5939
2005-03-09,4.5693,4.4984
2005-03-10,4.49,4.4644
2005-03-11,4.4758,4.4103
2005-03-14,4.4235,4.3406
2005-03-15,4.3483,4.4304
2005-03-16,4.3831,4.3558
2005-03-17,4.3937,4.4473
2005-03-18,4.4354,4.4659
2005-03-21,4.4468,4.4867
2005-03-22,4.4942,4.4302
2005-03-23,4.4146,4.4396
2005-03-24,4.4823,4.4463
2005-03-28,4.5066,4.5001
2005-03-29,4.491,4.4542
2005-03-30,4.4808,4.4761
2005-03-31,4.4141,4.4776
2005-04-01,4.5086,4.4659
2005-04-04,4.4637,4.5961
2005-04-05,4.6567,4.6775
2005-04-06,4.6941,4.6936
2005-04-07,4.6827,4.8062
2005-04-08,4.8045,4.7638
2005-04-11,4.7896,4.7931
2005-04-12,4.7874,4.8112
2005-04-13,4.799,4.7856
2005-04-14,4.7941,4.7489
2005-04-15,4.7154,4.5889
